"Year","Series","Household income quintile","Household income decile","Geography","Value"
"2013-2018","Income per capita",,"Lowest decile","Prince Edward Island",-1.242
"2013-2018","Income per capita",,"Second decile","Prince Edward Island",0.187
"2013-2018","Income per capita",,"Third decile","Prince Edward Island",0.171
"2013-2018","Income per capita",,"Fourth decile","Prince Edward Island",-0.859
"2013-2018","Income per capita",,"Total deciles","Nova Scotia",-0.168
"2013-2018","Income per capita",,"Lowest decile","Nova Scotia",0.97
"2013-2018","Income per capita",,"Second decile","Nova Scotia",-0.01
"2013-2018","Income per capita",,"Third decile","Nova Scotia",0.076
"2013-2018","Income per capita",,"Fourth decile","Nova Scotia",0.141
"2013-2018","Income per capita",,"Total deciles","New Brunswick",0.988
"2013-2018","Income per capita",,"Lowest decile","New Brunswick",2.446
"2013-2018","Income per capita",,"Second decile","New Brunswick",0.801
"2013-2018","Income per capita",,"Third decile","New Brunswick",1.015
"2013-2018","Income per capita",,"Fourth decile","New Brunswick",0.874
"2013-2018","Income per capita",,"Total deciles","Quebec",0.45
"2013-2018","Income per capita",,"Lowest decile","Quebec",2.084
"2013-2018","Income per capita",,"Second decile","Quebec",0.657
"2013-2018","Income per capita",,"Third decile","Quebec",0.882
"2013-2018","Income per capita",,"Fourth decile","Quebec",0.792
"2013-2018","Income per capita",,"Total deciles","Ontario",0.118
"2013-2018","Income per capita",,"Lowest decile","Ontario",0.492
"2013-2018","Income per capita",,"Second decile","Ontario",1.423
"2013-2018","Income per capita",,"Third decile","Ontario",1.366
"2013-2018","Income per capita",,"Fourth decile","Ontario",0.72
"2013-2018","Income per capita",,"Total deciles","Manitoba",-0.671
"2013-2018","Income per capita",,"Lowest decile","Manitoba",-0.836
"2013-2018","Income per capita",,"Second decile","Manitoba",-0.26
"2013-2018","Income per capita",,"Third decile","Manitoba",-0.426
"2013-2018","Income per capita",,"Fourth decile","Manitoba",-0.234
"2013-2018","Income per capita",,"Total deciles","Saskatchewan",-1.207
"2013-2018","Income per capita",,"Lowest decile","Saskatchewan",-1.291
"2013-2018","Income per capita",,"Second decile","Saskatchewan",-0.038
"2013-2018","Income per capita",,"Third decile","Saskatchewan",-0.313
"2013-2018","Income per capita",,"Fourth decile","Saskatchewan",-0.572
"2013-2018","Income per capita",,"Total deciles","Alberta",-2.224
"2013-2018","Income per capita",,"Lowest decile","Alberta",-0.189
"2013-2018","Income per capita",,"Second decile","Alberta",-1.677
"2013-2018","Income per capita",,"Third decile","Alberta",-2.096
"2013-2018","Income per capita",,"Fourth decile","Alberta",-1.622
"2013-2018","Income per capita",,"Total deciles","British Columbia",-0.592
"2013-2018","Income per capita",,"Lowest decile","British Columbia",4.068
"2013-2018","Income per capita",,"Second decile","British Columbia",1.105
"2013-2018","Income per capita",,"Third decile","British Columbia",0.479
"2013-2018","Income per capita",,"Fourth decile","British Columbia",-0.294
"2014-2019","Income per capita",,"Total deciles","Canada",-0.34
"2014-2019","Income per capita",,"Lowest decile","Canada",0.979
"2014-2019","Income per capita",,"Second decile","Canada",0.389
"2014-2019","Income per capita",,"Third decile","Canada",-0.053
"2014-2019","Income per capita",,"Fourth decile","Canada",-0.1
"2014-2019","Income per capita",,"Total deciles","Newfoundland and Labrador",-0.507
"2014-2019","Income per capita",,"Lowest decile","Newfoundland and Labrador",-0.106
"2014-2019","Income per capita",,"Second decile","Newfoundland and Labrador",0.528
"2014-2019","Income per capita",,"Third decile","Newfoundland and Labrador",0.012
"2014-2019","Income per capita",,"Fourth decile","Newfoundland and Labrador",-1.335
"2014-2019","Income per capita",,"Total deciles","Prince Edward Island",-1.244
"2014-2019","Income per capita",,"Lowest decile","Prince Edward Island",-4.224
"2014-2019","Income per capita",,"Second decile","Prince Edward Island",-1.404
"2014-2019","Income per capita",,"Third decile","Prince Edward Island",-0.654
"2014-2019","Income per capita",,"Fourth decile","Prince Edward Island",-0.947
"2014-2019","Income per capita",,"Total deciles","Nova Scotia",-0.494
"2014-2019","Income per capita",,"Lowest decile","Nova Scotia",0.307
"2014-2019","Income per capita",,"Second decile","Nova Scotia",0.55
"2014-2019","Income per capita",,"Third decile","Nova Scotia",0.219
"2014-2019","Income per capita",,"Fourth decile","Nova Scotia",0.11
"2014-2019","Income per capita",,"Total deciles","New Brunswick",0.631
"2014-2019","Income per capita",,"Lowest decile","New Brunswick",0.879
"2014-2019","Income per capita",,"Second decile","New Brunswick",1.228
"2014-2019","Income per capita",,"Third decile","New Brunswick",1.504
"2014-2019","Income per capita",,"Fourth decile","New Brunswick",0.839
"2014-2019","Income per capita",,"Total deciles","Quebec",0.808
"2014-2019","Income per capita",,"Lowest decile","Quebec",-0.101
"2014-2019","Income per capita",,"Second decile","Quebec",0.54
"2014-2019","Income per capita",,"Third decile","Quebec",0.626
"2014-2019","Income per capita",,"Fourth decile","Quebec",0.618
"2014-2019","Income per capita",,"Total deciles","Ontario",-0.263
"2014-2019","Income per capita",,"Lowest decile","Ontario",1.061
"2014-2019","Income per capita",,"Second decile","Ontario",0.384
"2014-2019","Income per capita",,"Third decile","Ontario",-0.048
"2014-2019","Income per capita",,"Fourth decile","Ontario",0.263
"2014-2019","Income per capita",,"Total deciles","Manitoba",-1.066
"2014-2019","Income per capita",,"Lowest decile","Manitoba",-0.859
"2014-2019","Income per capita",,"Second decile","Manitoba",-0.362
"2014-2019","Income per capita",,"Third decile","Manitoba",-0.693
"2014-2019","Income per capita",,"Fourth decile","Manitoba",-0.907
"2014-2019","Income per capita",,"Total deciles","Saskatchewan",-2.289
"2014-2019","Income per capita",,"Lowest decile","Saskatchewan",-4.096
"2014-2019","Income per capita",,"Second decile","Saskatchewan",-0.981
"2014-2019","Income per capita",,"Third decile","Saskatchewan",-1.121
"2014-2019","Income per capita",,"Fourth decile","Saskatchewan",-1.783
"2014-2019","Income per capita",,"Total deciles","Alberta",-2.108
"2014-2019","Income per capita",,"Lowest decile","Alberta",2.027
"2014-2019","Income per capita",,"Second decile","Alberta",-0.837
"2014-2019","Income per capita",,"Third decile","Alberta",-1.74
"2014-2019","Income per capita",,"Fourth decile","Alberta",-1.254
"2014-2019","Income per capita",,"Total deciles","British Columbia",-0.271
"2014-2019","Income per capita",,"Lowest decile","British Columbia",3.059
"2014-2019","Income per capita",,"Second decile","British Columbia",0.711
"2014-2019","Income per capita",,"Third decile","British Columbia",-0.195
"2014-2019","Income per capita",,"Fourth decile","British Columbia",-0.383
"2015-2020","Income per capita",,"Total deciles","Canada",0.463
"2015-2020","Income per capita",,"Lowest decile","Canada",5.216
"2015-2020","Income per capita",,"Second decile","Canada",3.223
"2015-2020","Income per capita",,"Third decile","Canada",1.995
"2015-2020","Income per capita",,"Fourth decile","Canada",1.258
"2015-2020","Income per capita",,"Total deciles","Newfoundland and Labrador",0.123
"2015-2020","Income per capita",,"Lowest decile","Newfoundland and Labrador",5.171
"2015-2020","Income per capita",,"Second decile","Newfoundland and Labrador",3.377
"2015-2020","Income per capita",,"Third decile","Newfoundland and Labrador",2.556
"2015-2020","Income per capita",,"Fourth decile","Newfoundland and Labrador",1.712
"2015-2020","Income per capita",,"Total deciles","Prince Edward Island",-0.008
"2015-2020","Income per capita",,"Lowest decile","Prince Edward Island",5.96
"2015-2020","Income per capita",,"Second decile","Prince Edward Island",1.876
"2015-2020","Income per capita",,"Third decile","Prince Edward Island",1.091
"2015-2020","Income per capita",,"Fourth decile","Prince Edward Island",-0.114
"2015-2020","Income per capita",,"Total deciles","Nova Scotia",0.338
"2015-2020","Income per capita",,"Lowest decile","Nova Scotia",3.032
"2015-2020","Income per capita",,"Second decile","Nova Scotia",3.495
"2015-2020","Income per capita",,"Third decile","Nova Scotia",2.712
"2015-2020","Income per capita",,"Fourth decile","Nova Scotia",1.387
"2015-2020","Income per capita",,"Total deciles","New Brunswick",1.841
"2015-2020","Income per capita",,"Lowest decile","New Brunswick",6.209
"2015-2020","Income per capita",,"Second decile","New Brunswick",3.213
"2015-2020","Income per capita",,"Third decile","New Brunswick",2.205
"2015-2020","Income per capita",,"Fourth decile","New Brunswick",1.361
"2015-2020","Income per capita",,"Total deciles","Quebec",1.926
"2015-2020","Income per capita",,"Lowest decile","Quebec",6.1
"2015-2020","Income per capita",,"Second decile","Quebec",3.804
"2015-2020","Income per capita",,"Third decile","Quebec",3.165
"2015-2020","Income per capita",,"Fourth decile","Quebec",2.436
"2015-2020","Income per capita",,"Total deciles","Ontario",0.49
"2015-2020","Income per capita",,"Lowest decile","Ontario",5.313
"2015-2020","Income per capita",,"Second decile","Ontario",2.969
"2015-2020","Income per capita",,"Third decile","Ontario",1.827
"2015-2020","Income per capita",,"Fourth decile","Ontario",0.875
"2015-2020","Income per capita",,"Total deciles","Manitoba",0.213
"2015-2020","Income per capita",,"Lowest decile","Manitoba",4.871
"2015-2020","Income per capita",,"Second decile","Manitoba",2.741
"2015-2020","Income per capita",,"Third decile","Manitoba",1.514
"2015-2020","Income per capita",,"Fourth decile","Manitoba",0.998
"2015-2020","Income per capita",,"Total deciles","Saskatchewan",-0.881
"2015-2020","Income per capita",,"Lowest decile","Saskatchewan",4.653
"2015-2020","Income per capita",,"Second decile","Saskatchewan",1.969
"2015-2020","Income per capita",,"Third decile","Saskatchewan",0.378
"2015-2020","Income per capita",,"Fourth decile","Saskatchewan",-0.227
"2015-2020","Income per capita",,"Total deciles","Alberta",-2.195
"2015-2020","Income per capita",,"Lowest decile","Alberta",0.622
"2015-2020","Income per capita",,"Second decile","Alberta",-0.044
"2015-2020","Income per capita",,"Third decile","Alberta",-0.296
"2015-2020","Income per capita",,"Fourth decile","Alberta",-0.932
"2015-2020","Income per capita",,"Total deciles","British Columbia",0.951
"2015-2020","Income per capita",,"Lowest decile","British Columbia",7.712
"2015-2020","Income per capita",,"Second decile","British Columbia",5.325
"2015-2020","Income per capita",,"Third decile","British Columbia",3.132
"2015-2020","Income per capita",,"Fourth decile","British Columbia",1.807
"2016-2021","Income per capita",,"Total deciles","Canada",0.652
"2016-2021","Income per capita",,"Lowest decile","Canada",2.851
"2016-2021","Income per capita",,"Second decile","Canada",2.069
"2016-2021","Income per capita",,"Third decile","Canada",1.572
"2016-2021","Income per capita",,"Fourth decile","Canada",1.244
"2016-2021","Income per capita",,"Total deciles","Newfoundland and Labrador",1.028
"2016-2021","Income per capita",,"Lowest decile","Newfoundland and Labrador",3.086
"2016-2021","Income per capita",,"Second decile","Newfoundland and Labrador",2.396
"2016-2021","Income per capita",,"Third decile","Newfoundland and Labrador",2.666
"2016-2021","Income per capita",,"Fourth decile","Newfoundland and Labrador",1.89
"2016-2021","Income per capita",,"Total deciles","Prince Edward Island",0.109
"2016-2021","Income per capita",,"Lowest decile","Prince Edward Island",1.749
"2016-2021","Income per capita",,"Second decile","Prince Edward Island",1.647
"2016-2021","Income per capita",,"Third decile","Prince Edward Island",1.589
"2016-2021","Income per capita",,"Fourth decile","Prince Edward Island",0.764
"2016-2021","Income per capita",,"Total deciles","Nova Scotia",0.027
"2016-2021","Income per capita",,"Lowest decile","Nova Scotia",4.464
"2016-2021","Income per capita",,"Second decile","Nova Scotia",2.266
"2016-2021","Income per capita",,"Third decile","Nova Scotia",1.424
"2016-2021","Income per capita",,"Fourth decile","Nova Scotia",0.488
"2016-2021","Income per capita",,"Total deciles","New Brunswick",1.178
"2016-2021","Income per capita",,"Lowest decile","New Brunswick",2.319
"2016-2021","Income per capita",,"Second decile","New Brunswick",2.734
"2016-2021","Income per capita",,"Third decile","New Brunswick",2.35
"2016-2021","Income per capita",,"Fourth decile","New Brunswick",1.674
"2016-2021","Income per capita",,"Total deciles","Quebec",1.558
"2016-2021","Income per capita",,"Lowest decile","Quebec",4.985
"2016-2021","Income per capita",,"Second decile","Quebec",2.357
"2016-2021","Income per capita",,"Third decile","Quebec",2.438
"2016-2021","Income per capita",,"Fourth decile","Quebec",2.208
"2016-2021","Income per capita",,"Total deciles","Ontario",0.384
"2016-2021","Income per capita",,"Lowest decile","Ontario",1.789
"2016-2021","Income per capita",,"Second decile","Ontario",2.461
"2016-2021","Income per capita",,"Third decile","Ontario",1.591
"2016-2021","Income per capita",,"Fourth decile","Ontario",1.123
"2016-2021","Income per capita",,"Total deciles","Manitoba",-0.295
"2016-2021","Income per capita",,"Lowest decile","Manitoba",1
"2016-2021","Income per capita",,"Second decile","Manitoba",0.646
"2016-2021","Income per capita",,"Third decile","Manitoba",0.257
"2016-2021","Income per capita",,"Fourth decile","Manitoba",-0.001
"2016-2021","Income per capita",,"Total deciles","Saskatchewan",-0.59
"2016-2021","Income per capita",,"Lowest decile","Saskatchewan",-3.437
"2016-2021","Income per capita",,"Second decile","Saskatchewan",0.411
"2016-2021","Income per capita",,"Third decile","Saskatchewan",0.465
"2016-2021","Income per capita",,"Fourth decile","Saskatchewan",0.093
"2016-2021","Income per capita",,"Total deciles","Alberta",-0.324
"2016-2021","Income per capita",,"Lowest decile","Alberta",0.507
"2016-2021","Income per capita",,"Second decile","Alberta",0.125
"2016-2021","Income per capita",,"Third decile","Alberta",-0.081
"2016-2021","Income per capita",,"Fourth decile","Alberta",-0.586
"2016-2021","Income per capita",,"Total deciles","British Columbia",1.157
"2016-2021","Income per capita",,"Lowest decile","British Columbia",4.985
"2016-2021","Income per capita",,"Second decile","British Columbia",2.986
"2016-2021","Income per capita",,"Third decile","British Columbia",1.875
"2016-2021","Income per capita",,"Fourth decile","British Columbia",1.309
"2017-2022","Income per capita",,"Total deciles","Canada",-0.186
"2017-2022","Income per capita",,"Lowest decile","Canada",-0.675
"2017-2022","Income per capita",,"Second decile","Canada",0.52
"2017-2022","Income per capita",,"Third decile","Canada",0.52
"2017-2022","Income per capita",,"Fourth decile","Canada",0.327
"2017-2022","Income per capita",,"Total deciles","Newfoundland and Labrador",0.289
"2017-2022","Income per capita",,"Lowest decile","Newfoundland and Labrador",1.083
"2017-2022","Income per capita",,"Second decile","Newfoundland and Labrador",1.098
"2017-2022","Income per capita",,"Third decile","Newfoundland and Labrador",1.386
"2017-2022","Income per capita",,"Fourth decile","Newfoundland and Labrador",1.437
"2017-2022","Income per capita",,"Total deciles","Prince Edward Island",-1.228
"2017-2022","Income per capita",,"Lowest decile","Prince Edward Island",3.012
"2017-2022","Income per capita",,"Second decile","Prince Edward Island",0.812
"2017-2022","Income per capita",,"Third decile","Prince Edward Island",0.365
"2017-2022","Income per capita",,"Fourth decile","Prince Edward Island",-0.043
"2017-2022","Income per capita",,"Total deciles","Nova Scotia",-1.065
"2017-2022","Income per capita",,"Lowest decile","Nova Scotia",1.145
"2017-2022","Income per capita",,"Second decile","Nova Scotia",0.248
"2017-2022","Income per capita",,"Third decile","Nova Scotia",-0.346
"2017-2022","Income per capita",,"Fourth decile","Nova Scotia",-0.924
"2017-2022","Income per capita",,"Total deciles","New Brunswick",-0.52
"2017-2022","Income per capita",,"Lowest decile","New Brunswick",0.464
"2017-2022","Income per capita",,"Second decile","New Brunswick",-0.204
"2017-2022","Income per capita",,"Third decile","New Brunswick",-0.667
"2017-2022","Income per capita",,"Fourth decile","New Brunswick",-0.333
"2017-2022","Income per capita",,"Total deciles","Quebec",1.214
"2017-2022","Income per capita",,"Lowest decile","Quebec",4.201
"2017-2022","Income per capita",,"Second decile","Quebec",2.337
"2017-2022","Income per capita",,"Third decile","Quebec",1.953
"2017-2022","Income per capita",,"Fourth decile","Quebec",1.7
"2017-2022","Income per capita",,"Total deciles","Ontario",-0.324
"2017-2022","Income per capita",,"Lowest decile","Ontario",-2.796
"2017-2022","Income per capita",,"Second decile","Ontario",0.407
"2017-2022","Income per capita",,"Third decile","Ontario",0.476
"2017-2022","Income per capita",,"Fourth decile","Ontario",0.236
"2017-2022","Income per capita",,"Total deciles","Manitoba",-1.549
"2017-2022","Income per capita",,"Lowest decile","Manitoba",-2.553
"2017-2022","Income per capita",,"Second decile","Manitoba",-0.416
"2017-2022","Income per capita",,"Third decile","Manitoba",-0.503
"2017-2022","Income per capita",,"Fourth decile","Manitoba",-0.356
"2017-2022","Income per capita",,"Total deciles","Saskatchewan",-0.858
"2017-2022","Income per capita",,"Lowest decile","Saskatchewan",-2.377
"2017-2022","Income per capita",,"Second decile","Saskatchewan",0.145
"2017-2022","Income per capita",,"Third decile","Saskatchewan",0.205
"2017-2022","Income per capita",,"Fourth decile","Saskatchewan",-0.315
"2017-2022","Income per capita",,"Total deciles","Alberta",-1.608
"2017-2022","Income per capita",,"Lowest decile","Alberta",-3.223
"2017-2022","Income per capita",,"Second decile","Alberta",-1.642
"2017-2022","Income per capita",,"Third decile","Alberta",-1.15
"2017-2022","Income per capita",,"Fourth decile","Alberta",-1.321
"2017-2022","Income per capita",,"Total deciles","British Columbia",-0.053
"2017-2022","Income per capita",,"Lowest decile","British Columbia",-1.397
"2017-2022","Income per capita",,"Second decile","British Columbia",0.23
"2017-2022","Income per capita",,"Third decile","British Columbia",-0.037
"2017-2022","Income per capita",,"Fourth decile","British Columbia",-0.086
